created_at,tweet_id,text
Sun Mar 22 23:59:47 +0000 2020,1241877265803137024,@fluffblack @Neroli_Meadows Prime Minister Scott Morrison does!
Sun Mar 22 23:59:26 +0000 2020,1241877174686109696,Current politcal situation in Australia. Scott Morrison is Lord Farquaad and Australian teachers are Ralph. https://t.co/cHYLNmKUAw
Sun Mar 22 23:59:21 +0000 2020,1241877155685888000,Scott Morrison - STOP IT! (Offical Video) https://t.co/4sOfh3JNcF via @YouTube This made me want to go out and buy every toiletroll in sight. Oh wait a minute!
Sun Mar 22 23:58:52 +0000 2020,1241877034998984706,And *of course* the MyGov platform and Centrelink app has crashed this morning: https://t.co/JRViHOReMC via @dailytelegraph
Sun Mar 22 23:58:51 +0000 2020,1241877028082597888,"Is Scott Morrison ""The Alpha""? https://t.co/MpoNkhC9B7"
Sun Mar 22 23:57:24 +0000 2020,1241876662943285248,"Prime Minister Scott Morrison has warned 2020 will likely be the ""toughest year of our lives”. 

https://t.co/eLk9r3yIgx"
Sun Mar 22 23:57:18 +0000 2020,1241876639996207105,@KKeneally @ScottMorrisonMP @David_Speers @AlanTudgeMP If Scott Morrison’s Government do not accept the Opposition’s amendments to his legislation - to protect ALL genuine residence of Australia - Mr Morrison shows himself as utterly DIABOLICAL &amp; incomprehensibly INHUMANE.
Sun Mar 22 23:56:54 +0000 2020,1241876539706232832,"@PhilGould15 What's the difference between scott morrison and a bucket of shit.??
A.  the Bucket."
Sun Mar 22 23:56:48 +0000 2020,1241876512636170240,"Scott Morrison just summed up the modern Australian economy,
going to the gym,
having brunch,
going to the pub.
That and selling education and housing to foreigners"
Sun Mar 22 23:56:42 +0000 2020,1241876489525579776,@SZengbean Scott Morrison
Sun Mar 22 23:55:44 +0000 2020,1241876244666265600,The MyGov website has crashed and Centrelink offices are copping massive lines as Australians rush to claim benefits. https://t.co/7UgduAna8m
Sun Mar 22 23:54:48 +0000 2020,1241876010141765633,"Why?
Because @ScottMorrisonMP is 3 days behind everything.
A week ago he held back 3 days for a Rugby game &amp; his cult meeting
Why coronavirus pressures prompted Australia's biggest states to rebel against Scott Morrison https://t.co/8bij1gsYY3 via @ABCNews"
Sun Mar 22 23:54:24 +0000 2020,1241875911240105984,"""Fortunately, Scott Morrison managed to walk the states back from the brink following clear and direct medical and health advice that much of what they were proposing was not only unnecessary but absurd."""
Sun Mar 22 23:51:31 +0000 2020,1241875183226347521,"The Prime Minister says the Australia is facing the worst economic crisis since the great depression.
https://t.co/dBYUs4LvlB"
Sun Mar 22 23:49:39 +0000 2020,1241874714202537984,"116 tweeps responded to my question asking who they trust most re #COVID19 information &amp; policy. Dr Norman Swan got most votes (60%), followed by Prof Bill Bowtell (31%), CMO Prof Brendan Murphy 3rd (6%) &amp; PM Scott Morrison 4th (3%) @normanswan @billbowtell https://t.co/CaWbAh5XMb"
Sun Mar 22 23:49:28 +0000 2020,1241874669772214272,"@kels_316 My friend was just diagnosed with breast cancer. At 33 weeks pregnant she faces early delivery, a mastectomy and months of chemo, with COVID-19 to try and avoid at the same time. Scott Morrison is an idiot."
Sun Mar 22 23:49:12 +0000 2020,1241874602613035010,"I cannot stand Morrison's idiotic religion, nor those of his detractors. The CV responses here are absolutely mostly about political point scoring on the basis of religio-cultural wars. ARSETRALIA! Australia's biggest states to rebel against Scott Morrison https://t.co/Kc7A6dcBtv"
Sun Mar 22 23:48:54 +0000 2020,1241874525307850753,All I have to say is that Scott Morrison’s tone in all these press conferences makes me feel like a child who has been put in the naughty corner but doesn’t really understand why they’ve been put there
Sun Mar 22 23:48:31 +0000 2020,1241874428339851264,"#BREAKING: Scott Morrison has made a statement in the House of Representatives in Canberra, calling on Australians to band together. @TheTodayShow https://t.co/A90o4r0nQ4"
Sun Mar 22 23:48:21 +0000 2020,1241874387805933568,"@BelindaJones68 @AlboMP And the same great speech, calm and collective from Scott Morrison, our Prime Minister. 👍✔"
Sun Mar 22 23:48:11 +0000 2020,1241874343325364224,@ScottMorrisonMP Scott Morrison is doing a fabulous job of taking control of a terrible situation. keep up the great work Mr Morrison!😀
Sun Mar 22 23:47:50 +0000 2020,1241874257438597121,"#Covid_19australia #COVID19Aus #AlboMP
Albo's speech in parliament worth a watch - measured, cooperative, and low key but impressive.
Compared to that of Prime Marketer (Scott Morrison) - you're still not Churchill but keep trying."
Sun Mar 22 23:47:05 +0000 2020,1241874067646377984,"When Scott Morrison said May God Bless us All 

I vomited"
Sun Mar 22 23:46:33 +0000 2020,1241873935471464448,"While I personally think he does need to ramp up the robustness of the language he's using - akin to the more forthright messaging of Scott Morrison in Australia - I also think it proves Boris is not the one note, populist tud-thumper of caricature. 2/3"
Sun Mar 22 23:46:11 +0000 2020,1241873843226136577,Pesky facts are spoiling Scott Morrison's economic story | Australian politics | The Guardian.     Just found this article when good old Scott was treasure. Cut cut cut funding. Good read!! https://t.co/5L2mgQAabw
Sun Mar 22 23:45:48 +0000 2020,1241873746765504512,"#BREAKING: Scott Morrison has made a statement in the House of Representatives in Canberra, calling on Australians to band together. #9Today https://t.co/URsC7uskDx"
Sun Mar 22 23:45:39 +0000 2020,1241873709838688256,"Prime Minister Scott Morrison says children should go to school but parents can keep them home if they want. 🔒

https://t.co/5AHgbFnlRc"
Sun Mar 22 23:44:46 +0000 2020,1241873485963513856,Is Scott Morrison’s kids at school
Sun Mar 22 23:43:37 +0000 2020,1241873194845233152,Prime Minister Scott Morrison has addressed Parliament and warned “2020 will be the toughest year of our lives”. He says Australia must prepare for long-term shutdown of non-essential activities for at least the next six months https://t.co/iU7nq7sAxO
Sun Mar 22 23:42:13 +0000 2020,1241872845191262208,Scott Morrison just wait till i fucking Get you
Sun Mar 22 23:40:38 +0000 2020,1241872444857569280,"#ScottyFromMarketing Defined As Non-Essential Service 

https://t.co/K22KDXhgJ1"
Sun Mar 22 23:40:18 +0000 2020,1241872363391717378,Prime Minister Scott Morrison: Statement to Parliament on the #coronavirus crisis. https://t.co/xIsbst2Qt1
Sun Mar 22 23:40:08 +0000 2020,1241872321238814720,"""Not a four-week shutdown""

Scott Morrison warns Australians this period of uncertainty could well and truly exceed six months @7NewsAustralia"
Sun Mar 22 23:39:50 +0000 2020,1241872243916812288,"@v2rbrisbane @9NewsSyd @Danielle_Post Its because Scott Morrison thinks he knows better than anyone else.
All I can hear from Morrison and Frydenberg - ""We make no apologies"", when they should be apologising to every single Australian for their lack of action and poor management, leading to disastrous outcomes."
Sun Mar 22 23:38:56 +0000 2020,1241872019529945088,Prime Minister Scott Morrison and Opposition Leader Anthony Albanese sanitise their hands as they enter the House of Representatives https://t.co/f9QkIpx8Wc
Sun Mar 22 23:38:22 +0000 2020,1241871876730703872,"'2020 will be the toughest year of our lives': PM addresses Parliament as it meets to pass more than $100 billion in stimulus and survival measures. Live and free updates from @smh @theage here. 
https://t.co/4gtznrryZh"
Sun Mar 22 23:38:05 +0000 2020,1241871804441845760,"The Left: “How dare Scott Morrison lecture us.”

Also the Left: “Yay for Daniel Andrews lecturing us.”
🤷🏽‍♂️🤦🏽‍♂️ #springst"
Sun Mar 22 23:37:58 +0000 2020,1241871774523899904,Can’t help himself. Scott Morrison smirks and declares . “ Don’t touch your face.” #Parliament https://t.co/C0Vbh2cOcV
Sun Mar 22 23:37:16 +0000 2020,1241871596513456129,"Dan Andrews and Gladys Berejiklian basically just alpha'd Scott Morrison. He's not in charge anymore, the premiers (even LNP) don't trust him #auspol"
Sun Mar 22 23:37:13 +0000 2020,1241871584744235008,"@DLoweryAU @deemadigan Minnesota AND Vermont have declared a state of emergency. Shop workers have been told they are an essential service. THEY are able to access FREE childcare paid for by the state like Nurses, GPs etc... meanwhile in Australia.... We have @GladysB &amp; Scott Morrison"
Sun Mar 22 23:36:55 +0000 2020,1241871510614073346,"This is leadership.  @ScottMorrisonMP take note.

#closeschoolsnow #Coronavid19 #coronavirusaus #COVIDー19 #ChinaLiedPeopleDied 

https://t.co/KciHwAVrSk"
Sun Mar 22 23:36:19 +0000 2020,1241871358251810816,Australia any time Scott Morrison speaks #Covid_19australia https://t.co/rYMCFvJ4Bk
Sun Mar 22 23:36:04 +0000 2020,1241871295026872321,"@Neroli_Meadows Thank god Albo and his pathetic party aren’t in charge cause things would be 100 times worse, Scott Morrison has dealt with these uncertain times extremely well, jog on Neroli, disappear into insignificance!"
Sun Mar 22 23:34:36 +0000 2020,1241870925013725186,Scott Morrison: Close Schools/Colleges/Universities down for an appropriate amount of time amidst ... https://t.co/JDZU9JGym2 via @ChangeAUS
Sun Mar 22 23:34:32 +0000 2020,1241870909247328258,"CRIKEY ‼️

For a minute there I thought Scott Morrison was going to invite everyone to pray while the bugler played the Last Post  to evoke the ANZAC spirit.

#Auspol #Coronaaustralia"
Sun Mar 22 23:33:15 +0000 2020,1241870585300279296,Prime Minister Scott Morrison has addressed Parliament and warned “2020 will be the toughest year of our lives” Follow the latest here https://t.co/WwLUD3cEUS
Sun Mar 22 23:31:55 +0000 2020,1241870251618258944,@SimonBanksHB @ScottMorrisonMP Can the National Cabinet have someone other than Scott Morrison deliver public messages? I turn off the TV when he comes on.
Sun Mar 22 23:31:03 +0000 2020,1241870032977530882,“Do not touch your face.” - Scott Morrison #COVIDー19 https://t.co/IlnQC5rEu5
Sun Mar 22 23:30:29 +0000 2020,1241869890929098752,@Surdaysnat Scott #Morrison and Peter #Dutton have no right to claim to be strong on borders. They lock up people indefinitely who pass all health and security checks but have let all potential #COVIDー19 carriers walk through any port or airport for the past two months unchecked. #idiots
Sun Mar 22 23:30:21 +0000 2020,1241869858079297536,scott morrison really be saying god bless in parliament? ok hun
