created_at,tweet_id,text
Mon Mar 30 23:57:05 +0000 2020,1244775687753359360,Coronavirus Australia update live: Tasmania records second death as NSW considers pop-up testing in Bondi – latest news https://t.co/oSUzsOav3u
Mon Mar 30 23:55:43 +0000 2020,1244775342696325125,"Australia ETF Climbs After A$130 Billion in Record Stimulus
An Australia country-specific exchange traded fund was leading the charge Mon after Prime Minister Scott Morrison announced the government’s fiscal stimulus package to help support the ailing economy #aussie #australia https://t.co/g85JNG9ddF"
Mon Mar 30 23:54:56 +0000 2020,1244775145614401537,Coronavirus Australia update live: Tasmania records second death as NSW considers pop-up testing in Bondi – latest news https://t.co/hQQVdcJxdM
Mon Mar 30 23:54:49 +0000 2020,1244775115692208135,Hearing reports that Scott Morrison is planning on sacking the Chief Medical Officer and replacing with this man #auspol #covd19 #Coronavirus #australialockdown https://t.co/1YLtkmhxpm
Mon Mar 30 23:53:17 +0000 2020,1244774733398208512,"Coronavirus Australia update live: Tasmania records second death as NSW considers pop-up testing in #Bondi – latest news

https://t.co/gzBzkMtp6C"
Mon Mar 30 23:52:47 +0000 2020,1244774606377873408,"Going to smash job interviews post #coronavirus.

Interviewer: ""Can you tell me about a time you had to deal with conflicting inputs, no leadership support, and you were under significant stress?""

Me: ""So it was March 2020, there was a pandemic, and Scott Morrison was PM..."""
Mon Mar 30 23:52:44 +0000 2020,1244774593321029632,Scott Morrison calls the Pacific our 'family'; Covid-19 is Australia's chance to prove that | Pat Conroy https://t.co/LF9AEphWcE
Mon Mar 30 23:52:00 +0000 2020,1244774408381595648,"In recent days, Scott Morrison has been saying contradictory things. He tells us he is following medical advice. But at the same time, he says he is trying to strike a balance between the twin challenges of the economy and health. Both can’t be true."
Mon Mar 30 23:50:22 +0000 2020,1244773996580573184,Has any member of the media asked Scott Morrison who the new resident in Kirribilli House is this week? do they  protect  gov places  til after crisis over #auspol
Mon Mar 30 23:49:49 +0000 2020,1244773858470539264,"""A real friend is one that can be relied upon in a crisis."" The “Pacific Step Up” needs to become a “COVID-19 Step Up”. Well said, @PatConroy1 https://t.co/nvGncwwdu8"
Mon Mar 30 23:47:42 +0000 2020,1244773328658640896,@ChrisReason7 @Asher_Wolf Didn't Scott Morrison say that we were doing compassion for people from overseas now?
Mon Mar 30 23:46:52 +0000 2020,1244773118071017472,"Latest from @swrighteconomy: Consumer confidence tumbles to record low, takeaway alcohol sales up 86 per cent over the past week compared to same period last year https://t.co/sDgITT5yKH"
Mon Mar 30 23:45:35 +0000 2020,1244772794082013184,"People will be able to pick up their prescriptions for the pill, their antidepressants or asthma medication from their pharmacist even if they cannot access their GP for a prescription thanks to a new special authority granted to them by NSW Health  https://t.co/99ua8GfZZA"
Mon Mar 30 23:44:47 +0000 2020,1244772594181533698,"fuck LNPcunt out Prime Minister Scott Morrison Australian death cult Hannity Aspen Pentecostal. going to enter hell or they self suicide .traditional spreaders of  evil, pentacaustals satan worships whos only goal is  mass human  sacrifice #auspol  SCOMO criminal intent on death"
Mon Mar 30 23:41:55 +0000 2020,1244771870877954053,"As we face the COVID crisis, we have one ventilator for every 11,000 Australians. Our nearest neighbour, PNG, has one ventilator per 1 million people. We must expand the “Pacific Step Up” to a “COVID Step Up”.
https://t.co/8YIfesZOi7"
Mon Mar 30 23:41:18 +0000 2020,1244771717911740416,"trends list: Prime Minister Scott Morrison Australian zombie death cult Murdock  Pentecostal. going to enter hellor they self suicide .traditional spreaders of  evil, pentacaustals satan worships whos only goal is  mass human  sacrifice #auspol  SCOMO criminal intent on death"
Mon Mar 30 23:40:51 +0000 2020,1244771604741013504,"Important contribution from Labor's @PatConroy1. #stepup

https://t.co/sJfUUDPeAO"
Mon Mar 30 23:39:57 +0000 2020,1244771377489432576,"Scott Morrison's tax exempt, murdock zombie  apolcllaypse government subsidised doomsday cult, Hillsong church, defies coronavirus warnings to worship their god: Brian

#auspol #Hillsong #HillsongCult"
Mon Mar 30 23:39:07 +0000 2020,1244771167568789510,"“Imagine living in a country where there was one ICU bed per 100,000 people and one ventilator per million people. Where there is one doctor per 16,666 people and one nurse per 1,754. Imagine living in a country where at least 3.5 million people did no…” https://t.co/9bBHP8PFZW"
Mon Mar 30 23:38:38 +0000 2020,1244771044558278662,Scott Morrison calls the Pacific our 'family'; Covid-19 is Australia's chance to prove that | Pat Conroy https://t.co/RELBVmJWNy
Mon Mar 30 23:38:17 +0000 2020,1244770956997840897,Scott Morrison: PM Morrison Get Tested for the Corona Virus. - Sign the Petition! https://t.co/HsqpL8yuep via @Change
Mon Mar 30 23:37:35 +0000 2020,1244770782049271808,Up to 6m workers will receive $1500 fortnightly payments under a $130bn JobKeeper scheme — the centrepiece of Australia’s biggest ever rescue package — to keep biz open throughout the COVID-19 economic crisis and protect hundreds of thousands of jobs https://t.co/ZU85ihwgHS
